Black Widow	2021	380	432	200	1.9	190%	379,751,655
Star Trek Beyond	2016	343	432	185	1.9	186%	343,471,816
300: Rise of an Empire	2014	338	430	110	3.1	307%	337,580,051
The Secrets of Dumbledore	2022	405	429	200	2.0	203%	405,161,334
John Wick 4	2023	427	427	100	4.3	427%	427,330,689
Little Fockers	2010	311	427	100	3.1	311%	310,650,585
Sonic the Hedgehog 2	2022	403	426	110	3.7	366%	402,656,846
Uncharted	2022	402	425	120	3.3	335%	401,748,820
xXx: Return of Xander Cage	2017	346	424	85	4.1	407%	346,118,277
The Good Dinosaur	2015	332	423	200	1.7	166%	332,207,671
Peter Rabbit	2018	351	422	50	7.0	703%	351,496,066
22 Jump Street	2014	331	422	50	6.6	663%	331,333,876
Tenet	2020	365	422	200	1.8	183%	365,294,355
Now You See Me 2	2016	335	421	120	2.8	279%	334,897,606
Mary Poppins Returns	2018	350	420	130	2.7	269%	349,546,142
Dumbo	2019	353	418	170	2.1	208%	353,284,621
Taken 3	2015	326	416	48	6.8	680%	326,479,141
The SpongeBob Movie: Sponge Out of Water	2015	325	414	74	4.4	439%	325,186,032
The Conjuring	2013	320	414	20	16.0	1602%	320,406,242
The Expendables 2	2012	315	414	100	3.1	315%	314,975,955
Black Adam	2022	389	412	230	1.7	169%	377,736,860
A Quiet Place	2018	341	410	17	20.1	2006%	340,952,971
The Conjuring 2	2016	322	404	40	8.0	805%	321,834,351
Maze Runner: The Scorch Trials	2015	312	398	61	5.1	512%	312,296,056
Resident Evil: The Final Chapter	2016	312	392	40	7.8	781%	312,242,626
John Wick: Chapter 3 - Parabellum	2019	328	388	75	4.4	438%	328,349,387
Green Book	2018	322	386	23	14.0	1399%	321,752,656
The Lego Batman Movie	2017	312	383	80	3.9	390%	312,136,671
Free Guy	2021	332	377	125	2.7	265%	331,526,598
Knives Out	2019	313	370	40	7.8	782%	312,897,920
Sonic the Hedgehog	2020	320	369	90	3.6	355%	319,715,683
